0,Cannot provide further status electronically.
1,"For more detailed information, see remittance advice."
2,More detailed information in letter.
3,Claim has been adjudicated and is awaiting payment cycle.
4,This is a subsequent request for information from the original request.
5,This is a final request for information.
6,Balance due from the subscriber.
7,Claim may be reconsidered at a future date.
8,No payment due to contract/plan provisions.
9,No payment will be made for this claim.
10,All originally submitted procedure codes have been combined.
11,Some originally submitted procedure codes have been combined.
12,One or more originally submitted procedure codes have been combined.
13,All originally submitted procedure codes have been modified.
14,Some all originally submitted procedure codes have been modified.
15,One or more originally submitted procedure code have been modified.
16,Claim/encounter has been forwarded to entity. Usage: This code requires use of an Entity Code.
17,Claim/encounter has been forwarded by third party entity to entity. Usage: This code requires use of an Entity Code.
18,"Entity received claim/encounter, but returned invalid status. Usage: This code requires use of an Entity Code."
19,Entity acknowledges receipt of claim/encounter. Usage: This code requires use of an Entity Code.
20,Accepted for processing.
21,Missing or invalid information. Usage: At least one other status code is required to identify the missing or invalid information.
22,... before entering the adjudication system.
23,Returned to Entity. Usage: This code requires use of an Entity Code.
24,Entity not approved as an electronic submitter. Usage: This code requires use of an Entity Code.
25,Entity not approved. Usage: This code requires use of an Entity Code.
26,Entity not found. Usage: This code requires use of an Entity Code.
27,Policy canceled.
28,Claim submitted to wrong payer.
29,Subscriber and policy number/contract number mismatched.
30,Subscriber and subscriber id mismatched.
31,Subscriber and policyholder name mismatched.
32,Subscriber and policy number/contract number not found.
33,Subscriber and subscriber id not found.
34,Subscriber and policyholder name not found.
35,Claim/encounter not found.
37,"Predetermination is on file, awaiting completion of services."
38,Awaiting next periodic adjudication cycle.
39,Charges for pregnancy deferred until delivery.
40,Waiting for final approval.
41,Special handling required at payer site.
42,Awaiting related charges.
44,Charges pending provider audit.
45,Awaiting benefit determination.
46,Internal review/audit.
47,Internal review/audit - partial payment made.
48,Referral/authorization.
49,Pending provider accreditation review.
50,Claim waiting for internal provider verification.
51,Investigating occupational illness/accident.
52,Investigating existence of other insurance coverage.
53,Claim being researched for Insured ID/Group Policy Number error.
54,Duplicate of a previously processed claim/line.
55,Claim assigned to an approver/analyst.
56,Awaiting eligibility determination.
57,Pending COBRA information requested.
59,Information was requested by a non-electronic method. Usage: At least one other status code is required to identify the requested information.
60,Information was requested by an electronic method. Usage: At least one other status code is required to identify the requested information.
61,Eligibility for extended benefits.
64,Re-pricing information.
65,Claim/line has been paid.
66,Payment reflects usual and customary charges.
67,Payment made in full.
68,Partial payment made for this claim.
69,Payment reflects plan provisions.
70,Payment reflects contract provisions.
71,Periodic installment released.
72,Claim contains split payment.
73,"Payment made to entity, assignment of benefits not on file. Usage: This code requires use of an Entity Code."
78,"Duplicate of an existing claim/line, awaiting processing."
81,Contract/plan does not cover pre-existing conditions.
83,No coverage for newborns.
84,Service not authorized.
85,Entity not primary. Usage: This code requires use of an Entity Code.
86,Diagnosis and patient gender mismatch.
87,Denied: Entity not found. (Use code 26 with appropriate Claim Status category Code)
88,Entity not eligible for benefits for submitted dates of service. Usage: This code requires use of an Entity Code.
89,Entity not eligible for dental benefits for submitted dates of service. Usage: This code requires use of an Entity Code.
90,Entity not eligible for medical benefits for submitted dates of service. Usage: This code requires use of an Entity Code.
91,Entity not eligible/not approved for dates of service. Usage: This code requires use of an Entity Code.
92,Entity does not meet dependent or student qualification. Usage: This code requires use of an Entity Code.
93,Entity is not selected primary care provider. Usage: This code requires use of an Entity Code.
94,Entity not referred by selected primary care provider. Usage: This code requires use of an Entity Code.
95,Requested additional information not received.
96,No agreement with entity. Usage: This code requires use of an Entity Code.
97,Patient eligibility not found with entity. Usage: This code requires use of an Entity Code.
98,Charges applied to deductible.
99,Pre-treatment review.
100,Pre-certification penalty taken.
101,Claim was processed as adjustment to previous claim.
102,Newborn's charges processed on mother's claim.
103,Claim combined with other claim(s).
104,Processed according to plan provisions (Plan refers to provisions that exist between the Health Plan and the Consumer or Patient)
105,Claim/line is capitated.
106,This amount is not entity's responsibility. Usage: This code requires use of an Entity Code.
107,Processed according to contract provisions (Contract refers to provisions that exist between the Health Plan and a Provider of Health Care Services)
108,Coverage has been canceled for this entity. (Use code 27)
109,Entity not eligible. Usage: This code requires use of an Entity Code.
110,Claim requires pricing information.
111,At the policyholder's request these claims cannot be submitted electronically.
112,Policyholder processes their own claims.
113,Cannot process individual insurance policy claims.
114,Claim/service should be processed by entity. Usage: This code requires use of an Entity Code.
115,Cannot process HMO claims
116,Claim submitted to incorrect payer.
117,Claim requires signature-on-file indicator.
118,TPO rejected claim/line because payer name is missing. (Use status code 21 and status code 125 with entity code IN)
119,TPO rejected claim/line because certification information is missing. (Use status code 21 and status code 252)
120,TPO rejected claim/line because claim does not contain enough information. (Use status code 21)
121,Service line number greater than maximum allowable for payer.
122,Missing/invalid data prevents payer from processing claim. (Use CSC Code 21)
123,Additional information requested from entity. Usage: This code requires use of an Entity Code.
124,"Entity's name, address, phone and id number. Usage: This code requires use of an Entity Code."
125,Entity's name. Usage: This code requires use of an Entity Code.
126,Entity's address. Usage: This code requires use of an Entity Code.
127,Entity's Communication Number. Usage: This code requires use of an Entity Code.
128,Entity's tax id. Usage: This code requires use of an Entity Code.
129,Entity's Blue Cross provider id. Usage: This code requires use of an Entity Code.
130,Entity's Blue Shield provider id. Usage: This code requires use of an Entity Code.
131,Entity's Medicare provider id. Usage: This code requires use of an Entity Code.
132,Entity's Medicaid provider id. Usage: This code requires use of an Entity Code.
133,Entity's UPIN. Usage: This code requires use of an Entity Code.
134,Entity's TRICARE provider id. Usage: This code requires use of an Entity Code.
135,Entity's commercial provider id. Usage: This code requires use of an Entity Code.
136,Entity's health industry id number. Usage: This code requires use of an Entity Code.
137,Entity's plan network id. Usage: This code requires use of an Entity Code.
138,Entity's site id . Usage: This code requires use of an Entity Code.
139,Entity's health maintenance provider id (HMO). Usage: This code requires use of an Entity Code.
140,Entity's preferred provider organization id (PPO). Usage: This code requires use of an Entity Code.
141,Entity's administrative services organization id (ASO). Usage: This code requires use of an Entity Code.
142,Entity's license/certification number. Usage: This code requires use of an Entity Code.
143,Entity's state license number. Usage: This code requires use of an Entity Code.
144,Entity's specialty license number. Usage: This code requires use of an Entity Code.
145,Entity's specialty/taxonomy code. Usage: This code requires use of an Entity Code.
146,Entity's anesthesia license number. Usage: This code requires use of an Entity Code.
147,"Entity's qualification degree/designation (e.g. RN,PhD,MD). Usage: This code requires use of an Entity Code."
148,Entity's social security number. Usage: This code requires use of an Entity Code.
149,Entity's employer id. Usage: This code requires use of an Entity Code.
150,Entity's drug enforcement agency (DEA) number. Usage: This code requires use of an Entity Code.
152,Pharmacy processor number.
153,Entity's id number. Usage: This code requires use of an Entity Code.
154,Relationship of surgeon & assistant surgeon.
155,Entity's relationship to patient. Usage: This code requires use of an Entity Code.
156,Patient relationship to subscriber
157,Entity's Gender. Usage: This code requires use of an Entity Code.
158,Entity's date of birth. Usage: This code requires use of an Entity Code.
159,Entity's date of death. Usage: This code requires use of an Entity Code.
160,Entity's marital status. Usage: This code requires use of an Entity Code.
161,Entity's employment status. Usage: This code requires use of an Entity Code.
162,Entity's health insurance claim number (HICN). Usage: This code requires use of an Entity Code.
163,Entity's policy/group number. Usage: This code requires use of an Entity Code.
164,Entity's contract/member number. Usage: This code requires use of an Entity Code.
165,"Entity's employer name, address and phone. Usage: This code requires use of an Entity Code."
166,Entity's employer name. Usage: This code requires use of an Entity Code.
